电影名称,电影片长,上映时间,导演,评分
双姝奇缘 4 aventures de Reinette et Mirabelle,['95 分钟'],['1987-02-04'],['埃里克·侯麦'],8.5
战地军魂 Stalag 17,['120 分钟'],['1953-05-29'],['比利·怀德'],8.5
一夜狂欢 A Hard Day&#39;s Night,['87 分钟'],['1964-07-06'],['理查德·莱斯特'],8.5
极乐同盟 Spiklenci slasti,['82分钟'],['1996-08'],['杨·史云梅耶'],8.5
满城风雨 The Front Page,['105 分钟'],['1974-12-17'],['比利·怀德'],8.5
你逃我也逃 To Be or Not to Be,['107 分钟'],['1983-12-16'],['Alan Johnson'],8.5
史楚锡流浪记 Stroszek,['115 分钟'],['1977-01-12'],['沃纳·赫尔佐格'],8.5
高山上的世界杯 Ph?rpa,['93 分钟'],['2000-04-21'],['宗萨钦哲仁波切'],8.5
抓壮丁,['96分钟'],['1963-12(中国大陆)'],"['陈戈', '沈剡']",8.5
冰上轻驰 Cool Runnings,['98 分钟'],['1993-10-01'],['乔·德特杜巴'],8.5
摄影师 The Cameraman,['76分钟'],['1928-09-22(美国)'],"['爱德华·塞奇威克', '巴斯特·基顿']",8.5
"一路顺风，查理布朗 Bon Voyage, Charlie Brown (and Don&#39;t Come Back!)",['75 分钟'],['1980-05-30'],['比尔·莫伦茨'],8.5
杰斯尼克：我思我祷 Anthony Jeselnik: Thoughts and Prayers,['59分钟'],['2015-10-16'],[],8.5
幸存的生命（理论与实践） Prezít svuj zivot (teorie a praxe),['105 分钟'],"['2010-09-10(威尼斯电影节)', '2010-11-04(捷克)']",['杨·史云梅耶'],8.5
哪吒之魔童降世,['110分钟'],"['2019-07-26(中国大陆)', '2019-07-13(大规模点映)']",['饺子'],8.4
初恋这件小事 ???????????????????????...???,['118分钟(泰国)'],"['2012-06-05(中国大陆)', '2010-08-12(泰国)']","['普特鹏·普罗萨卡·那·萨克那卡林', '华森·波克彭']",8.4
冰雪奇缘 Frozen,['102分钟'],"['2014-02-05(中国大陆)', '2013-11-27(美国)']","['克里斯·巴克', '珍妮弗·李']",8.4
王牌特工：特工学院 Kingsman: The Secret Service,['125分钟(中国大陆)'],"['2015-03-27(中国大陆)', '2014-12-13(BNAT电影节)', '2015-01-29(英国)']",['马修·沃恩'],8.4
小萝莉的猴神大叔 Bajrangi Bhaijaan,['159分钟'],"['2018-03-02(中国大陆)', '2015-07-17(印度)']",['卡比尔·汗'],8.4
国产凌凌漆 國產凌凌漆,['83分钟'],['1994-10-13(中国香港)'],"['李力持', '周星驰']",8.4
海底总动员 Finding Nemo,['100分钟'],"['2003-07-30(中国大陆)', '2003-05-30(美国)']","['安德鲁·斯坦顿', '李·昂克里奇']",8.4
我的个神啊 PK,['139分钟(中国大陆)'],"['2015-05-22(中国大陆)', '2014-12-19(印度)']",['拉吉库马尔·希拉尼'],8.4
乔乔的异想世界 Jojo Rabbit,['108分钟'],"['2020-07-31(中国大陆)', '2019-09-08(多伦多电影节)', '2019-11-08(美国)']",['塔伊加·维迪提'],8.4
甲方乙方,['87分钟'],['1997-12-24(中国大陆)'],['冯小刚'],8.4
家有喜事 家有囍事,['100分钟'],['1992-01-25(中国香港)'],['高志森'],8.4
赌神 賭神,['126 分钟'],['1989-12-14(中国香港)'],['王晶'],8.4
玩具总动员2 Toy Story 2,['92分钟'],['1999-11-24(美国)'],"['约翰·拉塞特', '艾什·布兰农', '李·昂克里奇']",8.4
天生一对 The Parent Trap,['127分钟'],['1998-07-29(美国)'],['南希·迈耶斯'],8.4
小羊肖恩 Shaun the Sheep Movie,['85分钟'],"['2015-07-17(中国大陆)', '2015-02-06(英国)']","['马克·伯顿', '理查德·斯塔扎克']",8.4
艺术家 The Artist,['100分钟'],"['2012-12-28(中国大陆)', '2011-10-12(法国)']",['米歇尔·阿扎纳维西于斯'],8.4
蓝白红三部曲之白 Trois couleurs: Blanc,['91分钟'],"['1994-01-26(法国)', '1994-02-25(波兰)']",['克日什托夫·基耶斯洛夫斯基'],8.4
杰出公民 El ciudadano ilustre,['118分钟'],"['2016-09-04(威尼斯电影节)', '2016-09-08(阿根廷)']","['加斯顿·杜帕拉特', '马里亚诺·寇恩']",8.4
普罗旺斯的夏天 Avis de mistral,['105分钟'],['2014-04-02(法国)'],['罗丝·博斯'],8.4
金枝玉叶 金枝玉葉,['107分钟'],['1994-07-23(中国香港)'],['陈可辛'],8.4
辛普森一家 The Simpsons Movie,['87分钟'],['2007-07-27(美国)'],['大卫·西尔弗曼'],8.4
顽主,['100分钟'],"['1988(中国大陆)', '1989-09-15(多伦多电影节)']",['米家山'],8.4
大坏狐狸的故事 Le Grand Méchant Renard et autres contes...,['83分钟'],"['2018-03-16(中国大陆)', '2017-06-15(安锡动画电影节)', '2017-06-21(法国)']","['本杰明·雷内', '帕特里克·英伯特']",8.4
贝利叶一家 La famille Bélier,['105分钟'],['2014-12-17(法国)'],['艾里克·拉缇戈'],8.4
偶滴神啊 OMG: Oh My God!,['125分钟'],['2012-09-28(印度)'],['Umesh Shukla'],8.4
洗澡,['92分钟'],['1999-09-14(多伦多电影节)'],['张杨'],8.4
完美陌生人(西班牙版) Perfectos desconocidos,['97分钟'],['2017-12-01(西班牙)'],['艾利克斯·德·拉·伊格莱希亚'],8.4
星际宝贝 Lilo &amp; Stitch,['85分钟'],"['2002-06-16(首映)', '2002-06-21(美国)']","['克里斯·桑德斯', '迪恩·德布洛斯']",8.4
101忠狗 One Hundred and One Dalmatians,['79分钟'],['1961-01-25(美国)'],"['克莱德·杰洛尼米', '汉密尔顿·卢斯科', '沃夫冈·雷瑟曼']",8.4
五个扑水的少年 ウォーターボーイズ,['91分钟'],['2001-09-15(日本)'],['矢口史靖'],8.4
契克 Tschick,['93分钟'],['2016-09-15(德国)'],['法提赫·阿金'],8.4
弗兰西丝·哈 Frances Ha,['86分钟'],"['2012-09-01(特柳赖德电影节)', '2013-05-17(美国)']",['诺亚·鲍姆巴赫'],8.4
猛龙过江 猛龍過江,['100 分钟'],['1972-12-30'],['李小龙'],8.4
摇摆少女 スウィングガールズ,['105分钟'],['2004-09-11(日本)'],['矢口史靖'],8.4
曼哈顿 Manhattan,['96 分钟'],['1979-04-25'],['伍迪·艾伦'],8.4
春天的故事 Conte de printemps,['108 分钟'],['1990-04-04'],['埃里克·侯麦'],8.4
朝圣之路 The Way,['123分钟'],['2010-11-19(西班牙)'],['艾米利奥·艾斯特维兹'],8.4
家族之苦2 家族はつらいよ2,['113分钟'],"['2017-02-10(日本赞岐电影节)', '2017-05-27(日本)']",['山田洋次'],8.4
少爷 坊っちゃん,['120分钟'],['2016-01-03(日本)'],['铃木雅之'],8.4
喊山,['89分钟'],['2013-05-09(中国大陆)'],['李彦廷'],8.4
子弹横飞百老汇 Bullets Over Broadway,['98 分钟'],"['1994-09-06(威尼斯电影节)', '1995-02-24(美国)']",['伍迪·艾伦'],8.4
行走距离 Distancias cortas,['104分钟'],"['2015-10-27(芝加哥电影节)', '2016-04(北京电影节)']",['亚历山卓·古兹曼·阿尔瓦雷斯'],8.4
红犬历险记 Red Dog,['92分钟'],['2011-08-04(澳大利亚)'],['科里夫·斯丹德斯'],8.4
列宁格勒牛仔征美记 Leningrad Cowboys Go America,['78 分钟'],['1989-03-24(芬兰)'],['阿基·考里斯马基'],8.4
小公主 The Little Princess,['93 分钟(TCM print)'],['1939-03-10(美国)'],"['沃尔特·朗', '威廉·A·塞特尔']",8.4
心灵点滴 Patch Adams,['115分钟'],['1998-12-25(美国)'],['汤姆·沙迪亚克'],8.4
太太万岁 太太萬歲,['107分钟'],['1947-12-01'],['桑弧'],8.4
樱桃小丸子 真人版1 ちびまる子ちゃん,['90分钟'],['2006-04-18(日本)'],['西浦正记'],8.4
游戏规则 La règle du jeu,['110分钟'],['1939-07-08'],['让·雷诺阿'],8.4
蒲公英 タンポポ,['114分钟'],['1985-11-23(日本)'],['伊丹十三'],8.4
日以作夜 La nuit américaine,['115 分钟'],['1973-05-24'],['弗朗索瓦·特吕弗'],8.4
爱与死 Love and Death,['85 分钟'],['1975-06-10'],['伍迪·艾伦'],8.4
浪荡儿 I vitelloni,['109分钟'],"['1953-08-26(威尼斯电影节)', '1953-09-17(意大利)']",['费德里科·费里尼'],8.4
雏菊 Sedmikrásky,['74 分钟'],['1966-12-30'],['维拉·希蒂洛娃'],8.4
罗马风情画 Roma,['120分钟'],['1972-03-16(意大利)'],['费德里科·费里尼'],8.4
给我一个爸 Kolja,['105 分钟'],"['1996-05-15(捷克)', '1996-08-30(威尼斯电影节)']",['扬·斯维拉克'],8.4
仁心与冠冕 Kind Hearts and Coronets,['106 分钟'],['1949-06-23(英国)'],['罗伯特·哈默'],8.4
盗信情缘 ポストマン?ブルース,['110 分钟'],['1997-08-16'],['萨布'],8.4
猫儿历险记 The Aristocats,['78分钟'],['1970-12-24(美国)'],['沃夫冈·雷瑟曼'],8.4
新局长到来之前,['46分钟'],['1956-05(中国大陆)'],['吕班'],8.4
跳跳虎历险记 The Tigger Movie,['77 分钟'],['2000-02-11(美国)'],['君·法尔克斯汀'],8.4
谁来为我摘月亮 Luna Papa,['107 分钟'],"['1999-09-08(威尼斯电影节)', '2000-06-27(德国)']",['巴克迪亚·库唐纳扎洛夫'],8.4
意大利式离婚 Divorzio all&#39;italiana,['105 分钟'],['1961-12-20'],['皮亚托·杰米'],8.4
泯灭天使 El ángel exterminador,['95 分钟'],['1962-12-16'],['路易斯·布努埃尔'],8.4
星际宝贝：终极任务 Leroy &amp; Stitch,['73分钟'],['2006-06-23(美国)'],"['托尼·克莱格', '罗伯茨·甘纳韦']",8.4
君臣人子小命呜呼 Rosencrantz and Guildenstern Are Dead,['117 分钟'],['1990-09-12'],['汤姆·斯托帕德'],8.4
影迷 Amator,['117分钟'],"['1979-08(莫斯科电影节)', '1979-11-16(波兰)']",['克日什托夫·基耶斯洛夫斯基'],8.4
与安德烈晚餐 My Dinner with Andre,['110 分钟'],"['1981-10-08(纽约电影节)', '1981-10-11(美国)']",['路易·马勒'],8.4
与墨索里尼喝茶 Tea with Mussolini,['117 分钟'],['1999-03-26'],['佛朗哥·泽菲雷里'],8.4
飞出个未来大电影2：万背之兽 Futurama: The Beast with a Billion Backs,['Argentina: 90 分钟'],['2008-06-24'],['Peter Avanzino'],8.4
假期 ????,['101分钟'],['2006-07-28(韩国)'],"['安成昆', '李民正']",8.4
安东尼娅家族 Antonia,['102 分钟'],"['1995-09-12(多伦多电影节)', '1995-09-20(荷兰)']",['玛琳·格里斯'],8.4
猫和老鼠：火星之旅 Tom and Jerry Blast Off to Mars!,['71分钟'],['2005-05-10'],['Bill Kopp'],8.4
一路上有你 Simon Birch,['114 分钟'],['1998-09-11(美国)'],['马克·斯蒂文·约翰逊'],8.4
善意的谎言 Jakob the Liar,['120 分钟'],['1999-09-24'],['彼德·卡索维茨'],8.4
小叛逆 The Littlest Rebel,['70 分钟'],['1935-11-22'],['大卫·巴特勒'],8.4
三笑,['108分钟'],['1964-03-21(中国香港)'],['李萍倩'],8.4
工作 Il Posto,['93分钟'],"['1961-09-01(威尼斯电影节)', '1962-10-15(瑞典)']",['埃曼诺·奥尔米'],8.4
寅次郎的故事1 男はつらいよ,['91分钟'],['1969-08-27(日本)'],['山田洋次'],8.4
失翼灵雀 Skrivánci na niti,['94分钟'],['1969-02(捷克斯洛伐克)'],['伊日·门泽尔'],8.4
七宗罪 Les sept péchés capitaux,['113 分钟'],['1962-03-07'],"['菲利普·德·布罗卡', '克洛德·夏布洛尔', '雅克·德米', '西尔万·多姆', '让-吕克·戈达尔', '埃德沃德·莫利纳罗', '罗杰·瓦迪姆', '马克斯·杜伊']",8.4
开麦拉狂想曲 Living in Oblivion,['90分钟'],['1995-07-21(美国)'],['汤姆·迪西罗'],8.4
大千世界,['121分钟'],['1975-07-17(中国香港)'],['丁善玺'],8.4
欢愉 Le plaisir,['97 分钟'],['1952-02-29'],['马克斯·奥菲尔斯'],8.4
如此美好的一天 It&#39;s Such a Beautiful Day,['62分钟'],"['2012-08-24(美国)', '2013-05-03(英国)']",['唐·赫兹菲尔德'],8.4
初恋 ???,['40分钟'],['2005-10-09'],['SBS'],8.4
亚当·桑德勒：100%新鲜 Adam Sandler: 100% Fresh,['74分钟'],['2018-10-23(美国)'],"['史蒂文·布里尔', 'Nicholaus Goossen']",8.4
去往蒙巴萨的单程票 Menolippu Mombasaan,['88 分钟'],['2003-11-16'],['Hannu Tuomainen'],8.4
味浓情更浓 Tafelspitz,['99 分钟'],['1994-04-28'],['Xaver Schwarzenberger'],8.4
青青校树 Obecná ?kola,['100 分钟'],['1991-08-01(捷克斯洛伐克)'],['扬·斯维拉克'],8.4
三个老兵 Tri veteráni,['96分钟'],['1984-07-01'],['奥德里奇·利普斯基'],8.4
路易·C·K：喜剧小铺现演 Louis C.K.: Live at the Comedy Store,['66分钟'],['2015-01-27(美国)'],['路易·C·K'],8.4
调音师 Andhadhun,['139分钟'],"['2019-04-03(中国大陆)', '2018-10-05(印度)']",['斯里兰姆·拉格万'],8.3
驴得水,['111分钟'],['2016-10-28(中国大陆)'],"['周申', '刘露']",8.3
小鬼当家 Home Alone,['103分钟'],['1990-11-16'],['克里斯·哥伦布'],8.3
里约大冒险 Rio,['96分钟'],"['2011-04-08(中国大陆)', '2011-04-15(美国)']",['卡洛斯·沙尔丹哈'],8.3
阳光小美女 Little Miss Sunshine,['101 分钟'],['2006-08-18(美国)'],"['乔纳森·戴顿', '维莱莉·法瑞斯']",8.3
魔发奇缘 Tangled,['100分钟'],"['2011-02-03(中国台湾)', '2010-11-24(美国)']","['内森·格雷诺', '拜伦·霍华德']",8.3
冰川时代3 Ice Age: Dawn of the Dinosaurs,['94 分钟'],"['2009-07-08(中国大陆)', '2009-07-01(美国)']","['卡洛斯·沙尔丹哈', '麦克·特米尔']",8.3
犬之岛 Isle of Dogs,['97分钟(中国大陆)'],"['2018-04-20(中国大陆)', '2018-02-15(柏林电影节)', '2018-03-23(美国)']",['韦斯·安德森'],8.3
"爱你，西蒙 Love, Simon",['110分钟'],['2018-03-16(美国)'],['格里格·伯兰蒂'],8.3
奇怪的她 ??? ??,['124分钟'],['2014-01-22(韩国)'],['黄东赫'],8.3
有话好好说,['90分钟'],"['1997-05-16(中国大陆)', '1997-09-02(威尼斯电影节)']",['张艺谋'],8.3
绅士们 The Gentlemen,['113分钟'],"['2019-12-03(伦敦首映)', '2020-01-24(美国)']",['盖·里奇'],8.3
堕落天使 墮落天使,['99分钟'],['1995-09-06(中国香港)'],['王家卫'],8.3
"巴黎，我爱你 Paris, je t&#39;aime",['120 分钟'],"['2006-05-18(戛纳电影节)', '2006-06-21(法国)']","['奥利维耶·阿萨亚斯', '伊桑·科恩', '乔尔·科恩', '格斯·范·桑特', '汤姆·提克威', '沃尔特·塞勒斯', '亚历山大·佩恩', '杜可风', '热拉尔·德帕迪约', '阿方索·卡隆', '诹访敦彦', '希尔万·肖默', '韦斯·克雷文', '伊莎贝尔·科赛特', '顾伦德·查达哈', '文森佐·纳塔利']",8.3
当哈利遇到莎莉 When Harry Met Sally...,['96 分钟'],['1989-07-21'],['罗伯·莱纳'],8.3
濑户内海 セトウツミ,['75分钟'],"['2016-06-12(上海电影节)', '2016-07-02(日本)']",['大森立嗣'],8.3
南极料理人 南極料理人,['125分钟'],['2009-08-08(日本)'],['冲田修一'],8.3
我的一级兄弟 ?? ??? ??,['114分钟'],['2019-05-01(韩国)'],['陆相孝'],8.3
僵尸先生 殭屍先生,['96 分钟'],['1985-11-07'],['刘观伟'],8.3
率性而活 ??? ??,['102分钟'],['2007-10-18(韩国)'],['罗喜灿'],8.3
海鸥食堂 かもめ食堂,['102 分钟(日本)'],['2006-03-11(日本)'],['荻上直子'],8.3
小男孩 Little Boy,['106分钟'],['2015-04-24(美国)'],['亚历杭德罗·戈麦斯·蒙特维尔德'],8.3
阳光姐妹淘 SUNNY 強い気持ち?強い愛,['119分钟'],['2018-08-31(日本)'],['大根仁'],8.3
成为约翰·马尔科维奇 Being John Malkovich,['112分钟'],['1999-10-29'],['斯派克·琼斯'],8.3
我在雨中等你 The Art of Racing in the Rain,['109分钟'],['2019-08-09(美国)'],['西蒙·柯蒂斯'],8.3
一个字头的诞生 一個字頭的誕生,['90 分钟'],['1997-03-14(中国香港)'],['韦家辉'],8.3
地球之夜 Night on Earth,['129分钟'],['1991-12-12'],['吉姆·贾木许'],8.3
阿德尔曼夫妇 Monsieur &amp; Madame Adelman,['120分钟'],['2017-03-08(法国)'],['尼古拉斯·贝多斯'],8.3
轻松自由 Libre et assoupi,['93分钟'],['2014-05-07(法国)'],['本杰明·格德杰'],8.3
魔幻时刻 ザ?マジックアワー,['136分钟'],['2008-06-07'],['三谷幸喜'],8.3
爱的曝光 愛のむきだし,['237 分钟'],"['2008-11-29(东京FILMeX电影节)', '2009-01-31(日本)']",['园子温'],8.3
骄傲 Pride,['120分钟'],"['2014-05-23(戛纳电影节)', '2014-09-12(英国)']",['马修·沃楚斯'],8.3
女友的男友 L&#39;ami de mon amie,['103分钟'],['1987-08-26(法国)'],['埃里克·侯麦'],8.3
阿基里斯与龟 アキレスと亀,['119分钟'],['2008-09-20(日本)'],['北野武'],8.3
三毛流浪记,['73分钟'],['1949-12(中国大陆)'],"['赵明', '严恭']",8.3
运转手之恋 運転手之恋,['94分钟'],['2000-11-11(中国台湾)'],"['张华坤', '陈以文']",8.3
我曾侍候过英国国王 Obsluhoval jsem anglického krále,['120分钟'],['2006-12-18(捷克)'],['伊日·门泽尔'],8.3
冥王星早餐 Breakfast on Pluto,['128 分钟'],['2005-09-03'],['尼尔·乔丹'],8.3
马达加斯加企鹅：行动 The Penguins of Madagascar: Operation,['117分钟'],['2010-02-09'],"['Nicholas Filippi', 'Bret Haaland']",8.3
芭比之真假公主 Barbie as the Princess and the Pauper,['148分钟'],['2004-09-28'],['William Lau'],8.3
美好事物 Beautiful Thing,['90 分钟'],['1996-06-21'],['希提·麦克唐纳'],8.3
巴菲的奇妙命运 Barfi!,['151分钟'],['2012-09-14(印度)'],['阿努拉格·巴苏'],8.3
八两金 八両金,['100分钟(美国)'],['1989-12-21'],['张婉婷'],8.3
金玉盟 An Affair to Remember,['115分钟'],['1957-07-11'],['莱奥·麦卡雷'],8.3
小孩不笨2,['124 分钟'],['2006-01-26(新加坡)'],['梁智强'],8.3
美食家 L&#39;aile ou la cuisse,['104分钟'],['1976-10-27'],['克洛德·齐迪'],8.3
世界奇妙物语 电影特别篇 世にも奇妙な物語 映画の特別編,['126 分钟'],['2000-11-03(日本)'],"['小椋久雄', '星护', '铃木雅之', '落合正幸']",8.3
浮云世事 Kauas pilvet karkaavat,['96 分钟'],['1996-01-26(芬兰)'],['阿基·考里斯马基'],8.3
第八日 Le huitième jour,['118 分钟'],['1996-05-22'],['雅克·范·多梅尔'],8.3
人生七部曲 The Meaning of Life,['107分钟'],['1983-07-07(英国)'],"['特瑞·琼斯', '特瑞·吉列姆']",8.3
朦胧的欲望 Cet obscur objet du désir,['103分钟'],['1977-08-17'],['路易斯·布努埃尔'],8.3
我们的故事,['107分钟'],['2016-02-04(新加坡)'],['梁智强'],8.3
"沙漠妖姬 The Adventures of Priscilla, Queen of the Desert",['104 分钟'],['1994-08-10(美国)'],['斯蒂芬·埃利奥特'],8.3
二楼传来的歌声 S?nger fr?n andra v?ningen,['98 分钟'],['2000-10-06'],['罗伊·安德森'],8.3
一年到头,['100分钟'],['2008-01-18(中国大陆)'],['王竞'],8.3
宝贝小情人 My Girl,['102分钟'],['1991-11-27(美国)'],['霍华德·齐耶夫'],8.3
你还活着 Du levande,['95分钟'],['2007-09-21'],['罗伊·安德森'],8.3
欢乐谷 Pleasantville,['124 分钟'],['1998-10-23'],['盖瑞·罗斯'],8.3
瓦嘉达 ????,['97分钟'],"['2012-08-31(威尼斯电影节)', '2013-09-05(德国)']",['海法·曼苏尔'],8.3
小上校 The Little Colonel,['80 分钟'],['1935-02-22'],['大卫·巴特勒'],8.3
秘密花园 ひみつの花園,['85分钟'],['1997-02-15(日本)'],['矢口史靖'],8.3
无线电时代 Radio Days,['88 分钟'],['1987-01-30'],['伍迪·艾伦'],8.3
我们的故事2,['122分钟'],['2016-03-31(新加坡)'],['梁智强'],8.3
飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎 Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,['138分钟'],['1965-06-03(英国)'],['肯·安纳金'],8.3
成为朱莉娅 Being Julia,['104分钟'],['2004-10-28'],['伊斯特凡·萨博'],8.3
波希米亚生活 La vie de bohème,['Germany: 100 分钟'],['1992-02-27'],['阿基·考里斯马基'],8.3
水仙女 Русалка,['115 分钟'],['2007-11-22'],['Anna Melikyan'],8.3
福禄双霸天 The Blues Brothers,['133分钟'],['1980-06-20'],['约翰·兰迪斯'],8.3
伦巴 Rumba,['France: 77 分钟'],['2008-09-10'],"['Dominique Abel', 'Fiona Gordon', 'Bruno Romy']",8.3
飞出个未来大电影4：绿色狂想 Futurama: Into the Wild Green Yonder,['89 分钟(DVD version)'],['2009-02-24'],['皮特·阿凡季诺'],8.3
无名英雄 Hero,['117 分钟'],['1992-10-02'],['斯蒂芬·弗雷斯'],8.3
老夫子,['80分钟'],['1981-07-16(中国香港)'],"['谢金涂', '蔡志忠', '胡树儒']",8.3
亮眼睛 Bright Eyes,['85 分钟(FMC Library Print)'],"['1935-02(中国大陆)', '1934-12-28(美国)']",['大卫·巴特勒'],8.3
布拉格狂想曲 Skrítek,['90分钟(捷克)'],['2005-03-17'],['托马斯·沃瑞'],8.3
战场上的布谷鸟 Кукушка,['99分钟'],['2002-09-12(俄罗斯)'],['亚历山大·罗戈日金'],8.3
"鸟，孤儿和愚人 Vtackovia, siroty a blazni",['78 分钟'],['1969'],['朱拉·亚库比斯克'],8.3
我的家人和其他动物 My Family and Other Animals,['90分钟'],['2005-12-27'],['谢雷·福克森'],8.3
吝啬鬼 L&#39;Avare,['125 分钟'],['1980-03-05(法国)'],"['路易·德·菲奈斯', '让·吉罗']",8.3
航海家 The Navigator,['59 分钟'],['1924-10-13(美国)'],"['唐纳德·克里斯普', '巴斯特·基顿']",8.3
绅士的启示联盟 The League of Gentlemen&#39;s Apocalypse,['91 分钟'],['2005-06-03'],['史蒂夫·班德莱克'],8.3
卖花女 Pygmalion,['96 分钟'],['1938-03-16'],"['安东尼·阿斯奎斯', '莱斯利·霍华德']",8.3
随我婆娑 Shall We Dance,['109 分钟'],['1937-05-07'],['马克·桑德里奇'],8.3
绞死刑 絞死刑,['117分钟'],['1968-02-03(日本)'],['大岛渚'],8.3
忍者小英雄 3 Ninjas,['84 分钟'],['1992-08-07'],['乔·德特杜巴'],8.3
圣·拉尔夫 Saint Ralph,['98 分钟'],['2005-04-08'],['麦克·迈克高文'],8.3
雌雄莫辨 Victor/Victoria,['133分钟'],['1982-03-19'],['布莱克·爱德华兹'],8.3
人间有情,['98 分钟'],['1995-10-05(中国香港)'],['高志森'],8.3
圣母街上的大人物 I soliti ignoti,['106分钟'],['1958-10-02(意大利)'],['马里奥·莫尼切利'],8.3
零用钱 L&#39;argent de poche,['France: 104 分钟'],['1976-03-17'],['弗朗索瓦·特吕弗'],8.3
随烟而飞 Up in Smoke,['86 分钟'],['1978-09-15'],"['汤米·钟', '洛乌·阿德勒']",8.3
黄金时代的故事 Amintiri din epoca de aur,['155 分钟'],['2009-12-30'],"['克里斯蒂安·蒙吉', 'Razvan Marculescu', 'Constantin Popescu', 'Ioana Uricaru', '哈诺·赫费尔']",8.3
心荡神驰 Untamed Heart,['102分钟'],['1993-02-12'],['托尼·比尔'],8.3
利刃出鞘 Knives Out,['130分钟'],"['2019-11-29(中国大陆)', '2019-09-07(多伦多电影节)', '2019-11-27(美国)']",['莱恩·约翰逊'],8.2
我的野蛮女友 ???? ??,['123分钟(韩国)'],['2001-07-27(韩国)'],['郭在容'],8.2
查理和巧克力工厂 Charlie and the Chocolate Factory,['115 分钟'],['2005-07-15(美国)'],['蒂姆·波顿'],8.2
怪兽大学 Monsters University,['104分钟'],"['2013-08-23(中国大陆)', '2013-06-21(美国)']",['丹·斯坎隆'],8.2
疯狂的赛车,['104分钟'],['2009-01-20(中国大陆)'],['宁浩'],8.2
黑衣人 Men in Black,['98分钟'],['1997-07-02(美国)'],['巴里·索南菲尔德'],8.2
鹿鼎记 鹿鼎記,['110分钟'],['1992-07-30(中国香港)'],['王晶'],8.2
独自等待,['107 分钟'],"['2005-09-08(中国大陆)', '2004-10-26(东京电影节)']",['伍仕贤'],8.2
马达加斯加3 Madagascar 3: Europe&#39;s Most Wanted,['93分钟'],"['2012-06-08(美国/中国大陆)', '2012-06-06(法国)']","['康拉德·弗农', '埃里克·达尼尔', '汤姆·麦格拉思']",8.2
摄影机不要停！ カメラを止めるな！,['96分钟'],"['2017-11-04(东京首映)', '2018-06-23(日本)']",['上田慎一郎'],8.2
热血警探 Hot Fuzz,['121分钟'],['2007-02-14(英国)'],['埃德加·赖特'],8.2
真实的谎言 True Lies,['141分钟'],"['1995-04-20(中国大陆)', '1994-07-15(美国)', '1994-08-12(英国)']",['詹姆斯·卡梅隆'],8.2
买凶拍人 買兇拍人,['99分钟'],['2001-08-16(中国香港)'],['彭浩翔'],8.2
火柴人 Matchstick Men,['116 分钟'],['2003-09-12(美国)'],['雷德利·斯科特'],8.2
年轻气盛 Youth,['124分钟'],['2015-05-20(戛纳电影节/意大利)'],['保罗·索伦蒂诺'],8.2
我和厄尔以及将死的女孩 Me and Earl and the Dying Girl,['105分钟'],"['2015-01-25(圣丹斯电影节)', '2015-06-12(美国)']",['阿方索·戈麦斯-雷洪'],8.2
阿拉丁 Aladdin,['90 分钟'],['1992-11-25(美国)'],"['罗恩·克莱蒙兹', '约翰·马斯克']",8.2
杀戮 Carnage,['80分钟'],['2011-09-01(威尼斯电影节)'],['罗曼·波兰斯基'],8.2
欢迎来到东莫村 ?? ? ???,['133 分钟'],['2005-08-04(韩国)'],['朴光铉'],8.2
微不足道 Big Nothing,['86 分钟'],['2006-12-01(英国)'],['让-巴普蒂斯特·安德烈'],8.2
小鬼当街 Baby&#39;s Day Out,['99 分钟'],['1994-07-01(美国)'],['帕特里克·里德·约翰逊'],8.2
爱在记忆消逝前 The Leisure Seeker,['112分钟'],"['2018-02-23(中国大陆)', '2017-09-03(威尼斯电影节)', '2018-01-25(意大利)']",['保罗·维尔齐'],8.2
香港制造,['108 分钟'],['1997-10-09'],['陈果'],8.2
百万英镑 The Million Pound Note,['90 分钟'],['1954-01-07'],['罗纳德·尼姆'],8.2
超级无敌掌门狗：人兔的诅咒 Wallace &amp; Gromit: The Curse of the Were-Rabbit,['85分钟'],['2005-10-14(英国)'],"['斯蒂夫·博克斯', '尼克·帕克']",8.2
为黛西小姐开车 Driving Miss Daisy,['99分钟'],['1989-12-13'],['布鲁斯·贝尔斯福德'],8.2
尽善尽美 As Good as It Gets,['139分钟'],['1997-12-25'],['詹姆斯·L·布鲁克斯'],8.2
艾德·伍德 Ed Wood,['127分钟'],['1994-09-23(美国)'],['蒂姆·波顿'],8.2
资产阶级的审慎魅力 Le Charme discret de la bourgeoisie,['102 分钟'],['1972-09-15'],['路易斯·布努埃尔'],8.2
半斤八两 半斤八兩,['94分钟'],['1976-12-16(中国香港)'],['许冠文'],8.2
早餐俱乐部 The Breakfast Club,['97 分钟'],['1985-02-07'],['约翰·休斯'],8.2
历史系男生 The History Boys,['109 分钟'],['2006-10-13'],['尼古拉斯·希特纳'],8.2
印式英语 English Vinglish,['133分钟'],['2012-10-05(印度)'],['高里·辛蒂'],8.2
小倩,['84分钟'],['1997-07-26(中国香港)'],['陈伟文'],8.2
谈谈情跳跳舞 Shall we ダンス?,['136分钟'],['1996-01-27(日本)'],['周防正行'],8.2
