标题,日期,阅读次数,正文
全国扶贫开发工作会议在京召开强调乘势而上开拓奋进实现巩固拓展脱贫攻坚成...,2020/12/30,2020-12-30,全国扶贫开发工作会议在京召开强调乘势而上开拓奋进实现巩固拓展脱贫攻坚成果同乡村振兴有效衔接
真抓实干全面推进乡村振兴——习近平总书记在中央农村工作会议上的重要讲话...,2020/12/31,5428,真抓实干全面推进乡村振兴——习近平总书记在中央农村工作会议上的重要讲话在社会各界引起强烈反响
投入加大短板补齐——一千七百多万脱贫人口喝上放心水,2021/02/01,2580,投入加大短板补齐——一千七百多万脱贫人口喝上放心水
2020年全国832个国家级贫困县网络零售总额超3000亿元,2021/02/01,2724,2020年全国832个国家级贫困县网络零售总额超3000亿元
全国政协专门委员会首场媒体见面会聚焦乡村振兴,2021/01/14,3732,全国政协专门委员会首场媒体见面会聚焦乡村振兴
乡村振兴实现良好开局（权威发布）下一步将重点抓好四方面工作,2021/01/14,4700,乡村振兴实现良好开局（权威发布）下一步将重点抓好四方面工作
脱贫攻坚重塑国人精神,2021/01/07,5901,脱贫攻坚重塑国人精神
脱贫后，“三区三州”地区制定新计划——再接再厉，帮扶政策仍延续,2021/01/06,4738,脱贫后，“三区三州”地区制定新计划——再接再厉，帮扶政策仍延续
全球12颗卫星共同发现这个奇迹,2020/12/29,3014,全球12颗卫星共同发现这个奇迹
2020，13次考察调研习近平的“非常节奏”,2020/12/28,5760,2020，13次考察调研习近平的“非常节奏”
各地持续推进扶贫产业发展壮大推进全面脱贫与乡村振兴有效衔接,2020/12/29,3973,各地持续推进扶贫产业发展壮大推进全面脱贫与乡村振兴有效衔接
“中国减贫奇迹”——习近平为世界展示的一种可能,2020/12/17,7813,“中国减贫奇迹”——习近平为世界展示的一种可能
刘永富会见北京市委常委、常务副市长崔述强一行,2020/12/26,3447,刘永富会见北京市委常委、常务副市长崔述强一行
真抓实干做好新阶段“三农”工作(社论),2020/12/30,3183,真抓实干做好新阶段“三农”工作(社论)
特稿：2020，中国脱贫故事赢得世界赞叹,2020/12/30,3680,特稿：2020，中国脱贫故事赢得世界赞叹
新时代妇女扶贫减贫的中国经验,2020/12/30,3175,新时代妇女扶贫减贫的中国经验
携手推进国际减贫进程,2020/12/28,3313,携手推进国际减贫进程
央视《焦点访谈》：怎样让扶贫产品卖得掉更卖得响？看看他们怎么做,2020/12/24,4823,央视《焦点访谈》：怎样让扶贫产品卖得掉更卖得响？看看他们怎么做
聚力民生暖民心——2020年我国民生改善成就掠影,2020/12/22,3806,聚力民生暖民心——2020年我国民生改善成就掠影
产业扶贫支撑我国贫困群众收入水平提高,2020/12/22,5713,产业扶贫支撑我国贫困群众收入水平提高
习近平向人类减贫经验国际论坛致贺信,2020/12/15,4288,习近平向人类减贫经验国际论坛致贺信
人类减贫经验国际论坛举行黄坤明宣读习近平主席贺信并发表主旨演讲,2020/12/15,3930,人类减贫经验国际论坛举行黄坤明宣读习近平主席贺信并发表主旨演讲
小康路上的追赶者,2020/12/21,3331,小康路上的追赶者
中国的精准扶贫精准脱贫——在“人类减贫经验国际论坛”上的发言,2020/12/16,7563,中国的精准扶贫精准脱贫——在“人类减贫经验国际论坛”上的发言
系列微纪录片：《第一书记》,2020/12/28,3536,系列微纪录片：《第一书记》
规划、加工、特色：我国采取三方面举措减少扶贫产业同质化竞争,2020/12/17,3737,规划、加工、特色：我国采取三方面举措减少扶贫产业同质化竞争
刘永富赴新华社调研座谈脱贫攻坚宣传工作,2020/12/12,4126,刘永富赴新华社调研座谈脱贫攻坚宣传工作
中共中央政治局召开会议习近平主持,2020/12/12,4481,中共中央政治局召开会议习近平主持
战胜贫困的中国奇迹,2020/12/11,5001,战胜贫困的中国奇迹
专访：中国减贫事业为世界提供战胜贫困的有效方略——访老挝国立大学孔子学院...,2020/12/16,3214,专访：中国减贫事业为世界提供战胜贫困的有效方略——访老挝国立大学孔子学院老方院长阮维莱
专访：中国为全面建成小康社会付出史诗般的努力——访古巴国际政治研究中心学...,2020/12/16,6160,专访：中国为全面建成小康社会付出史诗般的努力——访古巴国际政治研究中心学者何塞·罗瓦伊纳
中国脱贫成就举世无双——访英国共产党总书记罗伯特·格里菲思,2020/12/11,3180,中国脱贫成就举世无双——访英国共产党总书记罗伯特·格里菲思
联播+丨收官之年感受习近平扶贫足迹中的真情,2020/12/10,3773,联播+丨收官之年感受习近平扶贫足迹中的真情
刘永富会见广州医药集团有限公司党委书记、董事长李楚源一行,2020/12/10,3147,刘永富会见广州医药集团有限公司党委书记、董事长李楚源一行
夏更生出席“决战决胜脱贫攻坚”精准扶贫论坛,2020/12/10,3558,夏更生出席“决战决胜脱贫攻坚”精准扶贫论坛
洪天云会见山东省委常委、常务副省长王书坚一行,2020/12/09,4286,洪天云会见山东省委常委、常务副省长王书坚一行
同心筑就脱贫路——全国统一战线系统32年帮扶贵州省毕节市,2020/12/09,4485,同心筑就脱贫路——全国统一战线系统32年帮扶贵州省毕节市
2020中国公共关系发展大会在京举行,2020/12/08,4276,2020中国公共关系发展大会在京举行
中共中央政治局常务委员会召开会议听取脱贫攻坚总结评估汇报中共中央总书记...,2020/12/04,8366,中共中央政治局常务委员会召开会议听取脱贫攻坚总结评估汇报中共中央总书记习近平主持会议
教育部介绍“十三五”期间我国教育改革发展总体情况全国20万建档立卡辍学学...,2020/12/04,4708,教育部介绍“十三五”期间我国教育改革发展总体情况全国20万建档立卡辍学学生已“动态清零”
重磅微视频｜锦绣小康,2020/12/09,3863,重磅微视频｜锦绣小康
化零为整充足粮草加强保障贫困县整合涉农资金超1.5万亿元,2020/12/04,4256,化零为整充足粮草加强保障贫困县整合涉农资金超1.5万亿元
刘永富部署推进“学前学会普通话”行动试点工作,2020/12/03,4583,刘永富部署推进“学前学会普通话”行动试点工作
刘永富会见人力资源社会保障部副部长李忠一行,2020/12/02,4355,刘永富会见人力资源社会保障部副部长李忠一行
胡春华：加快农业农村现代化,2020/12/01,5544,胡春华：加快农业农村现代化
国务院扶贫办举办党的十九届五中全会精神专题学习班,2020/11/27,4018,国务院扶贫办举办党的十九届五中全会精神专题学习班
习近平总书记关切事丨中国人口较少民族全部实现整族脱贫,2020/11/26,10426,习近平总书记关切事丨中国人口较少民族全部实现整族脱贫
中央纪委常委会举行第十八次集体学习深入学习践行习近平法治思想自觉运用...,2020/11/25,3109,中央纪委常委会举行第十八次集体学习深入学习践行习近平法治思想自觉运用法治思维法治方式正风反腐
贫困县全部宣布摘帽，并不意味着全国脱贫攻坚目标任务已经全面完成,2020/11/25,9190,贫困县全部宣布摘帽，并不意味着全国脱贫攻坚目标任务已经全面完成
2020全球减贫伙伴研讨会聚焦后疫情时代全球减贫创新改革,2020/11/25,3076,2020全球减贫伙伴研讨会聚焦后疫情时代全球减贫创新改革
【新闻联播】今年摘帽贫困县抽查开始启动,2020/11/25,15442,【新闻联播】今年摘帽贫困县抽查开始启动
习近平总书记关切事丨我国所有贫困县全部脱贫,2020/11/24,10925,习近平总书记关切事丨我国所有贫困县全部脱贫
全国832个贫困县全部脱贫摘帽,2020/11/24,11707,全国832个贫困县全部脱贫摘帽
习近平出席二十国集团领导人第十五次峰会第二阶段会议,2020/11/23,2710,习近平出席二十国集团领导人第十五次峰会第二阶段会议
国新办举行脱贫攻坚兜底保障情况新闻发布会,2020/11/23,4016,国新办举行脱贫攻坚兜底保障情况新闻发布会
刘永富会见吉林省委副书记、省长景俊海一行,2020/11/21,3525,刘永富会见吉林省委副书记、省长景俊海一行
刘永富会见新疆维吾尔自治区党委常委、常务副主席张春林一行,2020/11/21,3357,刘永富会见新疆维吾尔自治区党委常委、常务副主席张春林一行
刘永富会见中储粮集团公司董事长邓亦武一行,2020/11/21,3147,刘永富会见中储粮集团公司董事长邓亦武一行
党的十八大以来百余个国家级贫困县开通铁路,2020/11/20,3017,党的十八大以来百余个国家级贫困县开通铁路
刘永富主任在全国“万企帮万村”精准扶贫行动现场交流会暨先进民营企业表彰会...,2020/11/19,3549,刘永富主任在全国“万企帮万村”精准扶贫行动现场交流会暨先进民营企业表彰会上的讲话
国新办就就业扶贫实施有关工作情况和主要成效举行发布会,2020/11/19,3284,国新办就就业扶贫实施有关工作情况和主要成效举行发布会
预告——《时代楷模发布厅》栏目将发布中宣部关于授予黄诗燕、毛相林“时代...,2020/11/18,3586,预告——《时代楷模发布厅》栏目将发布中宣部关于授予黄诗燕、毛相林“时代楷模”称号的决定
中央和国家机关脱贫攻坚先进集体、优秀个人表彰会在京举行,2020/11/18,3921,中央和国家机关脱贫攻坚先进集体、优秀个人表彰会在京举行
中宣部授予黄诗燕、毛相林“时代楷模”称号,2020/11/18,3323,中宣部授予黄诗燕、毛相林“时代楷模”称号
发布会预告:11月19日上午10时国新办就就业扶贫实施有关工作情况和主要...,2020/11/18,3127,发布会预告:11月19日上午10时国新办就就业扶贫实施有关工作情况和主要成效举行发布会
胡春华强调抓紧谋划好巩固拓展脱贫攻坚成果同乡村振兴有效衔接,2020/11/16,5339,胡春华强调抓紧谋划好巩固拓展脱贫攻坚成果同乡村振兴有效衔接
刘永富在贵州省毕节市调研脱贫攻坚工作,2020/11/16,3824,刘永富在贵州省毕节市调研脱贫攻坚工作
全国“万企帮万村”精准扶贫行动现场交流会暨先进民营企业表彰会在贵州织金召...,2020/11/13,3178,全国“万企帮万村”精准扶贫行动现场交流会暨先进民营企业表彰会在贵州织金召开
讲述好脱贫攻坚故事《大地颂歌》在国家大剧院惊艳亮相,2020/11/12,2020-11-12,讲述好脱贫攻坚故事《大地颂歌》在国家大剧院惊艳亮相
近期脱贫攻坚重点工作进展情况（截至2020年10月31日）,2020/11/10,5745,近期脱贫攻坚重点工作进展情况（截至2020年10月31日）
国务院扶贫办举办新进人员培训班,2020/11/09,5219,国务院扶贫办举办新进人员培训班
刘永富会见辽宁省委副书记、省长刘宁一行,2020/11/07,5174,刘永富会见辽宁省委副书记、省长刘宁一行
刘永富会见福建省副省长郑建闽一行,2020/11/07,4369,刘永富会见福建省副省长郑建闽一行
我国易地扶贫搬迁工作已转入以后续扶持为中心的新阶段,2020/11/06,4802,我国易地扶贫搬迁工作已转入以后续扶持为中心的新阶段
汪洋在河北调研时强调接续推进脱贫地区发展全面推进乡村振兴,2020/11/05,5564,汪洋在河北调研时强调接续推进脱贫地区发展全面推进乡村振兴
中国老区建设促进会成立30周年座谈会在京召开,2020/11/05,4389,中国老区建设促进会成立30周年座谈会在京召开
国务院扶贫办党组与驻部纪检监察组召开全面从严治党专题会商会议,2020/11/04,4924,国务院扶贫办党组与驻部纪检监察组召开全面从严治党专题会商会议
《习近平扶贫故事》出版座谈会在京举行,2020/11/02,4803,《习近平扶贫故事》出版座谈会在京举行
东部9省市今年已投入财政援助资金近260亿元,2020/11/02,4440,东部9省市今年已投入财政援助资金近260亿元
刘永富会见四川省委副书记邓小刚一行,2020/10/31,3126,刘永富会见四川省委副书记邓小刚一行
中国共产党第十九届中央委员会第五次全体会议公报,2020/10/30,22361,中国共产党第十九届中央委员会第五次全体会议公报
国务院扶贫办传达学习十九届五中全会精神,2020/10/30,11901,国务院扶贫办传达学习十九届五中全会精神
全国携手奔小康行动培训班在甘肃举办,2020/10/30,3367,全国携手奔小康行动培训班在甘肃举办
习近平的小康故事｜“我很期盼的一件事，就是让乡亲们饱餐一顿肉”——习近平...,2020/10/26,3758,习近平的小康故事｜“我很期盼的一件事，就是让乡亲们饱餐一顿肉”——习近平和脱贫攻坚的故事
“十三五”，决战脱贫攻坚取得新突破,2020/10/28,4060,“十三五”，决战脱贫攻坚取得新突破
国务院扶贫办副主任夏更生在新疆和田地区调研脱贫攻坚工作,2020/10/28,3555,国务院扶贫办副主任夏更生在新疆和田地区调研脱贫攻坚工作
我国电子商务进农村综合示范实现对832个贫困县全覆盖,2020/10/27,2406,我国电子商务进农村综合示范实现对832个贫困县全覆盖
《为了总书记的嘱托》第一集《励志求变》今晚播出,2020/10/25,3603,《为了总书记的嘱托》第一集《励志求变》今晚播出
2020年全国网络扶贫暨数字乡村发展工作现场推进会召开,2020/10/26,3831,2020年全国网络扶贫暨数字乡村发展工作现场推进会召开
三集政论专题片《为了总书记的嘱托》将于10月25日起在央视综合频道播出,2020/10/25,3521,三集政论专题片《为了总书记的嘱托》将于10月25日起在央视综合频道播出
胡春华强调扎实做好易地扶贫搬迁后续扶持工作,2020/10/23,4029,胡春华强调扎实做好易地扶贫搬迁后续扶持工作
刘永富在国务院扶贫办抗疫攻坚表彰大会上的讲话,2020/10/23,4583,刘永富在国务院扶贫办抗疫攻坚表彰大会上的讲话
全国消费扶贫月活动成果展示发布会在京举办,2020/10/22,4145,全国消费扶贫月活动成果展示发布会在京举办
习近平指挥中国战贫,2020/10/20,5729,习近平指挥中国战贫
在2020年第三届“民营企业南疆行”开幕式上的致辞,2020/10/21,3725,在2020年第三届“民营企业南疆行”开幕式上的致辞
中国纪检监察杂志刊发刘永富署名文章：中国共产党领导人民摆脱贫困从过去到...,2020/10/20,3923,中国纪检监察杂志刊发刘永富署名文章：中国共产党领导人民摆脱贫困从过去到未来
刘永富在黄诗燕同志先进事迹报告会上的讲话,2020/10/20,4479,刘永富在黄诗燕同志先进事迹报告会上的讲话
2020年“国家扶贫日”系列论坛在京举办,2020/10/19,4112,2020年“国家扶贫日”系列论坛在京举办
首届全国消费扶贫月成果发布销售扶贫产品415.98亿元,2020/10/18,3850,首届全国消费扶贫月成果发布销售扶贫产品415.98亿元
习近平对脱贫攻坚工作作出重要指示强调善始善终善作善成不获全胜决不收兵...,2020/10/17,7843,习近平对脱贫攻坚工作作出重要指示强调善始善终善作善成不获全胜决不收兵李克强作出批示
习近平对脱贫攻坚工作作出重要指示强调善始善终善作善成不获全胜决不收...,2020/10/17,4556,习近平对脱贫攻坚工作作出重要指示强调善始善终善作善成不获全胜决不收兵
汪洋会见全国脱贫攻坚奖获奖者,2020/10/17,3550,汪洋会见全国脱贫攻坚奖获奖者
国务院扶贫开发领导小组关于表彰2020年全国脱贫攻坚奖的决定,2020/10/17,30073,国务院扶贫开发领导小组关于表彰2020年全国脱贫攻坚奖的决定
【新闻联播】全国脱贫攻坚奖表彰大会暨先进事迹报告会在京举行,2020/10/17,5055,【新闻联播】全国脱贫攻坚奖表彰大会暨先进事迹报告会在京举行
【朝闻天下】今天是国家扶贫日最后52个未摘帽县脱贫进展顺利,2020/10/17,3954,【朝闻天下】今天是国家扶贫日最后52个未摘帽县脱贫进展顺利
决战决胜夺取脱贫攻坚战全面胜利——写在第7个国家扶贫日之际,2020/10/17,6699,决战决胜夺取脱贫攻坚战全面胜利——写在第7个国家扶贫日之际
2020年全国脱贫攻坚奖特别节目即将播出,2020/10/16,7454,2020年全国脱贫攻坚奖特别节目即将播出
刘永富应邀赴中央党校作形势与任务报告,2020/10/16,3621,刘永富应邀赴中央党校作形势与任务报告
【朝闻天下】2020扶贫日系列论坛在京举办,2020/10/15,11089,【朝闻天下】2020扶贫日系列论坛在京举办
国务院扶贫办举行脱贫攻坚先进事迹报告会,2020/10/14,4130,国务院扶贫办举行脱贫攻坚先进事迹报告会
习近平向“摆脱贫困与政党的责任”国际理论研讨会致贺信,2020/10/12,13880,习近平向“摆脱贫困与政党的责任”国际理论研讨会致贺信
第三届“民营企业南疆行”活动在新疆和田地区举行,2020/10/14,3729,第三届“民营企业南疆行”活动在新疆和田地区举行
中央宣传部、国务院扶贫办召开学习习近平总书记扶贫工作重要论述研讨会,2020/10/12,4907,中央宣传部、国务院扶贫办召开学习习近平总书记扶贫工作重要论述研讨会
铿锵的时代乐章——党的十八大以来习近平总书记考察调研过的贫困村脱贫调查,2020/10/10,8995,铿锵的时代乐章——党的十八大以来习近平总书记考察调研过的贫困村脱贫调查
告别绝对贫困创造伟大奇迹——“十三五”时期脱贫攻坚历程回眸,2020/10/10,11114,告别绝对贫困创造伟大奇迹——“十三五”时期脱贫攻坚历程回眸
2020年国家扶贫日系列活动概览,2020/10/10,10257,2020年国家扶贫日系列活动概览
追授黄诗燕同志“全国脱贫攻坚模范”称号大会暨黄诗燕同志先进事迹报告会在长...,2020/10/10,4645,追授黄诗燕同志“全国脱贫攻坚模范”称号大会暨黄诗燕同志先进事迹报告会在长沙举行
国务院扶贫办召开媒体通气会：2020年国家扶贫日期间将举办系列活动,2020/10/10,4471,国务院扶贫办召开媒体通气会：2020年国家扶贫日期间将举办系列活动
近期脱贫攻坚重点工作最新进展（截至9月30日）,2020/10/10,4215,近期脱贫攻坚重点工作最新进展（截至9月30日）
胡春华在贵州督导少数民族地区脱贫攻坚工作,2020/10/09,7728,胡春华在贵州督导少数民族地区脱贫攻坚工作
国务院扶贫办副主任陈志刚在联合国人权理事会介绍减贫经验,2020/10/09,5211,国务院扶贫办副主任陈志刚在联合国人权理事会介绍减贫经验
国务院扶贫办党组理论学习中心组专题学习习近平总书记关于制止餐饮浪费重要指...,2020/09/30,5469,国务院扶贫办党组理论学习中心组专题学习习近平总书记关于制止餐饮浪费重要指示
刘永富会见重庆市委常委刘强一行,2020/09/30,4668,刘永富会见重庆市委常委刘强一行
刘永富会见生态环境部党组书记孙金龙一行,2020/09/30,5420,刘永富会见生态环境部党组书记孙金龙一行
刘永富会见民政部副部长唐承沛一行,2020/09/30,4417,刘永富会见民政部副部长唐承沛一行
全国扶贫小额信贷工作现场会在广西召开,2020/09/29,7100,全国扶贫小额信贷工作现场会在广西召开
习近平出席第三次中央新疆工作座谈会并发表重要讲话,2020/09/27,6135,习近平出席第三次中央新疆工作座谈会并发表重要讲话
国务院扶贫办召开抗疫攻坚表彰大会,2020/09/27,4992,国务院扶贫办召开抗疫攻坚表彰大会
“中国共产党的故事—习近平新时代中国特色社会主义思想在贵州的实践”专题宣...,2020/09/25,3959,“中国共产党的故事—习近平新时代中国特色社会主义思想在贵州的实践”专题宣介会在贵阳举行
打赢脱贫攻坚战，总书记在7个专题会议上提出明确要求,2020/09/24,10449,打赢脱贫攻坚战，总书记在7个专题会议上提出明确要求
刘永富会见大连市委副书记、市长陈绍旺一行,2020/09/24,4146,刘永富会见大连市委副书记、市长陈绍旺一行
全国光伏扶贫工作现场会在山西大同召开,2020/09/24,4008,全国光伏扶贫工作现场会在山西大同召开
2020年全国脱贫攻坚奖获奖建议名单公示,2020/09/22,10634,2020年全国脱贫攻坚奖获奖建议名单公示
刘永富赴北京市朝阳区调研东西部扶贫协作工作,2020/09/21,4235,刘永富赴北京市朝阳区调研东西部扶贫协作工作
上半年消费扶贫拉动贫困地区农产品销售超2000亿元,2020/09/21,3950,上半年消费扶贫拉动贫困地区农产品销售超2000亿元
时政微视频丨从十八洞村到沙洲村,2020/09/21,3381,时政微视频丨从十八洞村到沙洲村
刘永富会见中国延安干部学院常务副院长李国喜一行,2020/09/17,5655,刘永富会见中国延安干部学院常务副院长李国喜一行
彭丽媛在21世纪人类消除贫困事业与妇女的作用——纪念北京世界妇女大会25...,2020/09/17,5123,彭丽媛在21世纪人类消除贫困事业与妇女的作用——纪念北京世界妇女大会25周年暨全球妇女峰会5周年座谈会上发表致辞
赵乐际在贵州调研时强调以“三严三实”作风决胜全面小康决战脱贫攻坚,2020/09/17,4980,赵乐际在贵州调研时强调以“三严三实”作风决胜全面小康决战脱贫攻坚
全国2020年度扶贫对象动态管理培训班在南昌举办,2020/09/16,5374,全国2020年度扶贫对象动态管理培训班在南昌举办
夏更生赴云南调研脱贫攻坚工作,2020/09/15,4372,夏更生赴云南调研脱贫攻坚工作
刘永富赴定点扶贫县调研脱贫攻坚工作,2020/09/14,5205,刘永富赴定点扶贫县调研脱贫攻坚工作
“2020丹寨论坛”在贵州省丹寨县举行,2020/09/14,4709,“2020丹寨论坛”在贵州省丹寨县举行
刘永富应邀赴中央党校作形势与任务报告,2020/09/11,5478,刘永富应邀赴中央党校作形势与任务报告
国务院扶贫办召开2020年第二次定点扶贫办公室会议,2020/09/11,6228,国务院扶贫办召开2020年第二次定点扶贫办公室会议
国务院扶贫办召开中国扶贫交流基地建设现场推进会,2020/09/11,5663,国务院扶贫办召开中国扶贫交流基地建设现场推进会
不获全胜，决不收兵——全国52个挂牌督战贫困县脱贫攻坚纪实,2020/09/11,4199,不获全胜，决不收兵——全国52个挂牌督战贫困县脱贫攻坚纪实
较真碰硬“督”凝心聚力“战”——确保剩余贫困人口如期脱贫，对52个未摘...,2020/09/11,6384,较真碰硬“督”凝心聚力“战”——确保剩余贫困人口如期脱贫，对52个未摘帽贫困县实施挂牌督战
我国将加快推进脱贫攻坚与乡村振兴战略衔接,2020/09/10,6414,我国将加快推进脱贫攻坚与乡村振兴战略衔接
刘永富会见青海省委副书记、省长信长星一行,2020/09/09,4937,刘永富会见青海省委副书记、省长信长星一行
刘永富会见宁夏回族自治区党委副书记、主席咸辉一行,2020/09/09,5084,刘永富会见宁夏回族自治区党委副书记、主席咸辉一行
国务院扶贫办召开2020年扶贫日系列论坛协调会,2020/09/08,5754,国务院扶贫办召开2020年扶贫日系列论坛协调会
全国1800多万贫困患者得到有效救治所有贫困人口都已纳入基本医疗保险范...,2020/09/08,4644,全国1800多万贫困患者得到有效救治所有贫困人口都已纳入基本医疗保险范围
【防止因灾致贫返贫】重庆：措施提升一级工作抢先一步全力以赴打好防汛救...,2020/09/08,3638,【防止因灾致贫返贫】重庆：措施提升一级工作抢先一步全力以赴打好防汛救灾主动战
我国脱贫攻坚重点工作取得重要进展,2020/09/07,4893,我国脱贫攻坚重点工作取得重要进展
新闻调查.脱贫冲锋号：中国的脱贫攻坚，是各行各业无数人努力汇成的森林,2020/09/07,4889,新闻调查.脱贫冲锋号：中国的脱贫攻坚，是各行各业无数人努力汇成的森林
全国消费扶贫月开启多地“以购代捐”助脱贫,2020/09/07,4751,全国消费扶贫月开启多地“以购代捐”助脱贫
刘永富会见海南省委副书记李军一行,2020/09/05,4709,刘永富会见海南省委副书记李军一行
刘永富会见甘肃省委副书记孙伟一行,2020/09/05,4036,刘永富会见甘肃省委副书记孙伟一行
【防止因灾致贫返贫】四川：全力保障受灾群众“有饭吃、有水喝、有住处、有衣...,2020/09/04,4385,【防止因灾致贫返贫】四川：全力保障受灾群众“有饭吃、有水喝、有住处、有衣穿、有医看”
【防止因灾致贫返贫】江西：从源头筑起返贫致贫“拦洪闸”,2020/09/04,4291,【防止因灾致贫返贫】江西：从源头筑起返贫致贫“拦洪闸”
刘永富带队赴河北省张家口市调研脱贫攻坚工作,2020/09/04,4237,刘永富带队赴河北省张家口市调研脱贫攻坚工作
【防止因灾致贫返贫】贵州：这些措施让“两不愁三保障”的坚实基础不动摇,2020/09/04,4200,【防止因灾致贫返贫】贵州：这些措施让“两不愁三保障”的坚实基础不动摇
国务院扶贫办党组理论学习中心组专题学习《习近平谈治国理政》第三卷,2020/09/04,5057,国务院扶贫办党组理论学习中心组专题学习《习近平谈治国理政》第三卷
【防止因灾致贫返贫】湖南：突出“四看”重点，化解因灾致贫返贫风险,2020/09/03,4547,【防止因灾致贫返贫】湖南：突出“四看”重点，化解因灾致贫返贫风险
胡春华出席全国消费扶贫月活动启动仪式,2020/09/02,5701,胡春华出席全国消费扶贫月活动启动仪式
刘永富会见贵州省委副书记、省长谌贻琴一行,2020/09/02,4906,刘永富会见贵州省委副书记、省长谌贻琴一行
刘永富会见中国电力建设集团有限公司党组书记、董事长晏志勇一行,2020/09/02,3824,刘永富会见中国电力建设集团有限公司党组书记、董事长晏志勇一行
刘永富会见爱尔眼科医院集团董事长陈邦一行,2020/09/02,4554,刘永富会见爱尔眼科医院集团董事长陈邦一行
2898万贫困劳动力外出务工,2020/09/02,3741,2898万贫困劳动力外出务工
海归书写的扶贫篇章,2020/09/02,3334,海归书写的扶贫篇章
全国扶贫办主任座谈会在京召开强调保持攻坚态势扎实查缺补漏凝心聚力做...,2020/09/01,7451,全国扶贫办主任座谈会在京召开强调保持攻坚态势扎实查缺补漏凝心聚力做好脱贫攻坚收官工作
国务院扶贫办、财政部印发通知强调用好财政扶贫资金项目支持克服洪涝地质灾...,2020/09/01,4338,国务院扶贫办、财政部印发通知强调用好财政扶贫资金项目支持克服洪涝地质灾害影响
黄坤明在内蒙古调研时强调聚焦决胜全面小康、决战脱贫攻坚为经济社会发展...,2020/09/01,4740,黄坤明在内蒙古调研时强调聚焦决胜全面小康、决战脱贫攻坚为经济社会发展营造良好思想舆论氛围石泰峰参加调研
上下同欲者胜，“五级书记”抓扶贫,2020/08/31,10886,上下同欲者胜，“五级书记”抓扶贫
胡春华强调不折不扣完成贫困劳动力稳岗就业任务,2020/08/28,4997,胡春华强调不折不扣完成贫困劳动力稳岗就业任务
刘永富会见湖北省委副书记、省长王晓东一行,2020/08/29,4496,刘永富会见湖北省委副书记、省长王晓东一行
全国东西部扶贫协作培训班在云南举办,2020/08/27,4064,全国东西部扶贫协作培训班在云南举办
习近平在安徽考察时强调坚持改革开放坚持高质量发展在加快建设美好安徽上...,2020/08/21,5158,习近平在安徽考察时强调坚持改革开放坚持高质量发展在加快建设美好安徽上取得新的更大进展
全国政协召开巩固脱贫攻坚成果重点提案督办协商会汪洋主持并讲话,2020/08/21,5085,全国政协召开巩固脱贫攻坚成果重点提案督办协商会汪洋主持并讲话
胡春华强调克服疫情灾情影响确保如期全面脱贫,2020/08/21,7821,胡春华强调克服疫情灾情影响确保如期全面脱贫
【防止因灾致贫返贫】打出政策组合拳：撑起防贫伞，挡住风和雨,2020/08/27,4251,【防止因灾致贫返贫】打出政策组合拳：撑起防贫伞，挡住风和雨
【防止因灾致贫返贫】广西：七项措施筑牢防止因灾致贫返贫“堤坝”,2020/08/27,4544,【防止因灾致贫返贫】广西：七项措施筑牢防止因灾致贫返贫“堤坝”
国务院扶贫办以党建工作引领脱贫攻坚扎实推进,2020/08/24,4798,国务院扶贫办以党建工作引领脱贫攻坚扎实推进
央视《焦点访谈》：共同见证：阜平不再贫，黄土变成金,2020/08/24,3944,央视《焦点访谈》：共同见证：阜平不再贫，黄土变成金
富脑袋鼓口袋习近平指导教育扶贫托起贫困山乡未来,2020/08/18,5103,富脑袋鼓口袋习近平指导教育扶贫托起贫困山乡未来
胡春华主持召开国务院扶贫开发领导小组全体会议,2020/08/18,5238,胡春华主持召开国务院扶贫开发领导小组全体会议
刘永富会见中植企业集团解直锟一行,2020/08/18,15377,刘永富会见中植企业集团解直锟一行
西藏自治区党委传达学习胡春华在西藏极高海拔地区调研时的讲话精神,2020/08/18,3950,西藏自治区党委传达学习胡春华在西藏极高海拔地区调研时的讲话精神
饭碗端得稳脱贫底气足上半年外出务工贫困劳动力人数达去年总数的103....,2020/08/18,3748,饭碗端得稳脱贫底气足上半年外出务工贫困劳动力人数达去年总数的103.73%
央视《焦点访谈》：元古堆的红火日子,2020/08/18,3731,央视《焦点访谈》：元古堆的红火日子
撑起防贫伞，挡住风和雨——各地各部门打出政策组合拳，加强对受灾困难群众帮...,2020/08/17,4298,撑起防贫伞，挡住风和雨——各地各部门打出政策组合拳，加强对受灾困难群众帮扶
新闻联播：消费扶贫成效显著销售额突破1000亿元,2020/08/17,4292,新闻联播：消费扶贫成效显著销售额突破1000亿元
央视《焦点访谈》：德胜村的“金蛋蛋”,2020/08/17,3960,央视《焦点访谈》：德胜村的“金蛋蛋”
央视《焦点访谈》：神气起来的神山村,2020/08/17,3984,央视《焦点访谈》：神气起来的神山村
央视《焦点访谈》：花茂人的笑,2020/08/17,3831,央视《焦点访谈》：花茂人的笑
央视《焦点访谈》：张庄的脱贫路,2020/08/17,3498,央视《焦点访谈》：张庄的脱贫路
刘永富会见湖南省委副书记乌兰、副省长隋忠诚一行,2020/08/15,4621,刘永富会见湖南省委副书记乌兰、副省长隋忠诚一行
刘永富会见河南省副省长武国定一行,2020/08/15,3970,刘永富会见河南省副省长武国定一行
习近平的扶贫热搜词,2020/08/14,4725,习近平的扶贫热搜词
